s,x,y,curvature
57.400000,3.756489,-23.987363,0.00768088
57.500000,3.846997,-23.944837,0.00753331
57.600000,3.937473,-23.902242,0.00738606
57.700000,4.027917,-23.859581,0.00723912
57.800000,4.118330,-23.816854,0.00709250
57.900000,4.208713,-23.774064,0.00694617
58.000000,4.299067,-23.731210,0.00680014
58.100000,4.389391,-23.688295,0.00665440
58.200000,4.479686,-23.645320,0.00650895
58.300000,4.569954,-23.602287,0.00636377
58.400000,4.660194,-23.559195,0.00621885
58.500000,4.750407,-23.516048,0.00607420
58.600000,4.840594,-23.472846,0.00592981
58.700000,4.930755,-23.429591,0.00578566
58.800000,5.020891,-23.386283,0.00564176
58.900000,5.111003,-23.342924,0.00549809
59.000000,5.201091,-23.299516,0.00535465
59.100000,5.291156,-23.256060,0.00521143
59.200000,5.381198,-23.212557,0.00506842
59.300000,5.471217,-23.169008,0.00492562
59.400000,5.561216,-23.125415,0.00478302
59.500000,5.651193,-23.081779,0.00464062
59.600000,5.741151,-23.038101,0.00449840
59.700000,5.831088,-22.994383,0.00435636
59.800000,5.921007,-22.950625,0.00421449
59.900000,6.010907,-22.906830,0.00407279
60.000000,6.100789,-22.862998,0.00393124
60.100000,6.190654,-22.819130,0.00378985
60.200000,6.280502,-22.775229,0.00364860
60.300000,6.370335,-22.731295,0.00350748
60.400000,6.460151,-22.687329,0.00336650
60.500000,6.549953,-22.643333,0.00322564
60.600000,6.639741,-22.599308,0.00308489
60.700000,6.729515,-22.555256,0.00294425
60.800000,6.819277,-22.511177,0.00280371
60.900000,6.909025,-22.467072,0.00266327
61.000000,6.998763,-22.422944,0.00252291
